"id","rank","title","studio","lifetime_gross","year","href"
1224,"85","The Twilight Saga: Eclipse","Sum.","$300,531,751","2010","/movies/?id=eclipse.htm"
1225,"86","The Twilight Saga: New Moon","Sum.","$296,623,634","2009","/movies/?id=newmoon.htm"
1226,"87","Harry Potter and the Deathly Hallows Part 1","WB","$296,131,568","2010^","/movies/?page=releases&id=harrypotter7.htm"
1227,"88","The Sixth Sense","BV","$293,506,292","1999","/movies/?id=sixthsense.htm"
1228,"89","Up","BV","$293,004,164","2009","/movies/?id=up.htm"
1229,"90","Inception","WB","$292,576,195","2010","/movies/?id=inception.htm"
1230,"91","The Twilight Saga: Breaking Dawn Part 2","LG/S","$292,324,737","2012","/movies/?id=breakingdawn2.htm"
1231,"92","Harry Potter and the Order of the Phoenix","WB","$292,137,260","2007^","/movies/?page=releases&id=harrypotter5.htm"
1232,"93","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","BV","$291,710,957","2005","/movies/?id=narnia.htm"
1233,"94","Man of Steel","WB","$291,045,518","2013","/movies/?id=superman2012.htm"
1234,"95","The Empire Strikes Back","Fox","$290,475,067","1980^","/movies/?page=releases&id=starwars5.htm"
1235,"96","Harry Potter and the Goblet of Fire","WB","$290,201,752","2005^","/movies/?page=releases&id=harrypotter4.htm"
1236,"97","Monsters, Inc.","BV","$289,916,256","2001^","/movies/?page=releases&id=monstersinc.htm"
1237,"98","Home Alone","Fox","$285,761,243","1990","/movies/?id=homealone.htm"
1238,"99","The Hunger Games: Mockingjay - Part 2","LGF","$281,723,902","2015","/movies/?id=hungergames4.htm"
1239,"100","The Matrix Reloaded","WB","$281,576,461","2003","/movies/?id=matrixreloaded.htm"
