"tconst","titletype","primarytitle","originaltitle","isadult","startyear","endyear","runtimeminutes","genres","id"
"tt0299720","video","Cum Shots 3","Cum Shots 3","1","1999","\N","\N","Adult",287403
"tt0299721","video","Cum Shots 4","Cum Shots 4","1","2000","\N","\N","Adult",287404
"tt0299722","video","Cum Shots 5","Cum Shots 5","1","2001","\N","140","Adult",287405
"tt0299723","video","Cumback Pussy 42","Cumback Pussy 42","1","2001","\N","118","Adult",287406
"tt0299724","video","Cuntz","Cuntz","1","2000","\N","\N","Adult",287407
"tt0299725","tvMovie","Cupido Dictator","Cupido Dictator","0","1963","\N","75","Drama,Musical",287408
"tt0299726","movie","The Curse of Claudia","The Curse of Claudia","0","1991","\N","\N","\N",287409
"tt0299727","video","Curtain Call","Curtain Call","1","2001","\N","87","Adult",287410
"tt0299728","movie","Curve","Curve","0","2002","\N","\N","Documentary",287411
"tt0299729","short","The Cutting Room","The Cutting Room","0","2001","\N","15","Comedy,Short",287412
"tt0299731","movie","Daejeogsu","Daejeogsu","0","1977","\N","70","Action",287413
"tt0299732","movie","Daewi","Daewi","0","1976","\N","80","Action",287414
"tt0299733","tvMovie","Dallas","Dallas","0","1967","\N","105","Drama",287415
"tt0299734","tvEpisode","Home Truths","Home Truths","0","2001","\N","90","Crime,Drama,Mystery",287416
"tt0299735","tvEpisode","Secrets of the Dead","Secrets of the Dead","0","2001","\N","88","Crime,Drama,Mystery",287417
"tt0299736","tvEpisode","Walls of Silence","Walls of Silence","0","2001","\N","95","Crime,Drama,Mystery",287418
"tt0299737","movie","Danny und Britta","Danny und Britta","0","1997","\N","\N","\N",287419
"tt0299738","movie","Darkest London: or, The Dancer's Romance","Darkest London: or, The Dancer's Romance","0","1915","\N","\N","Crime,Drama",287420
"tt0299739","tvMovie","David Blaine: Street Magic","David Blaine: Street Magic","0","1997","\N","45","Documentary",287421
"tt0299740","tvMovie","Dawson's Creek: Behind the Scenes","Dawson's Creek: Behind the Scenes","0","1999","\N","\N","Documentary",287422
"tt0299741","movie","De halcones y palomas","De halcones y palomas","0","1986","\N","\N","Drama",287423
"tt0299742","video","De lentejuela y pluma","De lentejuela y pluma","0","2001","\N","13","Documentary,Short",287424
"tt0299743","short","Dead Heat","Dead Heat","0","1926","\N","\N","Drama,Short",287425
"tt0299744","movie","Dead Room","Dead Room","0","2001","\N","102","Horror",287426
"tt0299745","movie","The Deadly Disciple","The Deadly Disciple","0","2001","\N","90","Action,Comedy",287427
"tt0299747","movie","Debdas","Debdas","0","1979","\N","153","Romance",287428
"tt0299748","video","New Year's Fairy Tale","Deda Mraz u bajci","0","2000","\N","58","Comedy,Drama,Family",287429
"tt0299749","tvMovie","The Deep North","The Deep North","0","1990","\N","58","\N",287430
"tt0299750","short","Deep Sea Fishing","Deep Sea Fishing","0","1900","\N","\N","Documentary,Short",287431
"tt0299751","movie","Deonal daeneun maleobti","Deonal daeneun maleobti","0","1964","\N","103","Drama",287432
"tt0299752","tvMovie","Des nouvelles des enfants","Des nouvelles des enfants","0","2001","\N","90","\N",287433
"tt0299753","tvShort","Deseta Bozja...","Deseta Bozja...","0","2002","\N","\N","Comedy,Drama,Short",287434
"tt0299754","video","Despair","Despair","0","2001","\N","35","Drama,Horror,Short",287435
"tt0299755","tvMovie","Le dialogue des Carmélites","Le dialogue des Carmélites","0","1984","\N","\N","Drama",287436
"tt0299756","tvSpecial","Diana Ross in Concert!","Diana Ross in Concert!","0","1979","\N","76","Music",287437
"tt0299757","short","Did You Ever","Did You Ever","0","2003","\N","28","Short",287438
"tt0299758","short","Dino Alley","Dino Alley","0","1985","\N","1","Animation,Comedy,Short",287439
